"incorrect sentence";"correct sentence";"topic"
"I hate when the people aren’t polite.";"I hate when people aren’t polite.";"Articles (a/an/the)"
"You receive one message and you keep it with you.";"You receive a message and you keep it with you.";"Articles (a/an/the)"
"I went to one bakery to ask for one coffee.";"I went to a bakery to ask for a coffee.";"Articles (a/an/the)"
"I spent all the weekend in the bed.";"I spent all weekend in bed.";"Articles (a/an/the)"
"It’s not same.";"It’s not the same.";"Articles (a/an/the)"
"I have a fear of the heights.";"I have a fear of heights.";"Articles (a/an/the)"
"I’m a little afraid of the water.";"I’m a little afraid of water.";"Articles (a/an/the)"
"Two years ago, the government approved one law.";"Two years ago, the government approved a law.";"Articles (a/an/the)"
"You need to take one exam.";"You need to take an exam.";"Articles (a/an/the)"
"It’s important for the children to use social media.";"It’s important for children to use social media.";"Articles (a/an/the)"
"The most part of people here are Brazilian.";"Most of the people here are Brazilian.";"Articles (a/an/the)"
"It’s one crime.";"It’s a crime.";"Articles (a/an/the)"
"The children are the future of the world.";"Children are the future of the world.";"Articles (a/an/the)"
"I met one guy at the pub last night.";"I met a guy at the pub last night.";"Articles (a/an/the)"
"Sometimes the people use their influence.";"Sometimes people use their influence.";"Articles (a/an/the)"
"The most of my friends are Brazilian.";"Most of my friends are Brazilian.";"Articles (a/an/the)"
"I worked all the weekend.";"I worked all weekend.";"Articles (a/an/the)"
"It’s about one man and one woman.";"It’s about a man and a woman.";"Articles (a/an/the)"
"It was a giant step for the medicine.";"It was a giant step for medicine.";"Articles (a/an/the)"
"People think the men are better.";"People think men are better.";"Articles (a/an/the)"
"A long time ago, the cars didn’t have keys.";"A long time ago, cars didn’t have keys.";"Articles (a/an/the)"
"She was a first woman to get a doctoral degree.";"She was the first woman to get a doctoral degree.";"Articles (a/an/the)"
"If I moved the country, I would be healthier.";"If I moved country, I would be healthier.
If I moved to another country, I would be healthier.
If I moved to the country, I would be healthier.";"Articles (a/an/the)"
"The people are living longer than in the past.";"People are living longer than in the past.";"Articles (a/an/the)"
"We can do the both.";"We can do both.";"Articles (a/an/the)"
"The people change during their lives.";"People change during their lives.";"Articles (a/an/the)"
"Everyone watches the movies in English.";"Everyone watches movies in English.";"Articles (a/an/the)"
"It’s quite safe place.";"It’s quite a safe place.";"Articles (a/an/the)"
"I played handball when I was in the school.";"I played handball when I was in school.";"Articles (a/an/the)"
"I was at my friend’s house to have dinner and plan one trip.";"I was at my friend’s house to have dinner and plan a trip.";"Articles (a/an/the)"
