;"incorrect_sentence";"correct_sentences";"topics";"entered"
111;"When you stay comfortable, you can try throwing the ball.";"When you are/get/feel comfortable, you can try throwing the ball.";"Word Confusion";"2024-08-07 09:08:26.969035"
112;"I know some rich persons who are sad.";"I know some rich people who are sad.";"Word Confusion";"2024-08-07 09:08:26.969035"
113;"My dream is to meet that part of the world.";"My dream is to see that part of the world.";"Word Confusion";"2024-08-07 09:08:26.969035"
114;"I learned that since I was a kid.";"I learned that when I was a kid.";"Word Confusion";"2024-08-07 09:08:26.969035"
115;"Other people talk the same thing about him.";"Other people say the same thing about him.";"Word Confusion";"2024-08-07 09:08:26.969035"
116;"You could take 7 years in prison.";"You could get 7 years in prison.";"Word Confusion";"2024-08-07 09:08:26.969035"
117;"It's the most security place in Brazil.";"It's the safest place in Brazil.";"Word Confusion";"2024-08-07 09:08:26.969035"
118;"I hope to come back there someday.";"I hope to go back there someday.";"Word Confusion";"2024-08-07 09:08:26.969035"
119;"The best cooker in my family is my grandmother.";"The best cook in my family is my grandmother.";"Word Confusion";"2024-08-07 09:08:26.969035"
120;"We have a lot of famous plates.";"We have a lot of famous dishes.";"Word Confusion";"2024-08-07 09:08:26.969035"
121;"We don't use jackets.";"We don't wear jackets.";"Word Confusion";"2024-08-07 09:08:26.969035"
122;"She never stopped, neither when she lost her father.";"She never stopped, not even when she lost her father.";"Word Confusion";"2024-08-07 09:08:26.969035"
123;"If you do this job for more than a month, you stay exhausted.";"If you do this job for more than a month, you get exhausted.";"Word Confusion";"2024-08-07 09:08:26.969035"
124;"He was only seven years.";"He was only seven years old.
He was only seven.";"Word Confusion";"2024-08-07 09:08:26.969035"
125;"His new albums are different in comparation with his old ones.";"His new albums are different in comparison with his old ones.";"Word Confusion";"2024-08-07 09:08:26.969035"
126;"I felt stressful.";"I felt stressed.";"Word Confusion";"2024-08-07 09:08:26.969035"
127;"It took my attention.";"It grabbed my attention.";"Word Confusion";"2024-08-07 09:08:26.969035"
128;"I don't like to say myself an artist.";"I don't like to call myself an artist.";"Word Confusion";"2024-08-07 09:08:26.969035"
129;"In my country, the minimum salary is low.";"In my country, the minimum wage is low.";"Word Confusion";"2024-08-07 09:08:26.969035"
130;"I don't like both.";"I don't like either.";"Word Confusion";"2024-08-07 09:08:26.969035"
131;"My grandfather was a cooker.";"My grandfather was a chef.
My grandfather was a cook.";"Word Confusion";"2024-08-07 09:08:26.969035"
132;"Working on a cruise ship you can know a lot of different countries.";"Working on a cruise ship you can see a lot of different countries.";"Word Confusion";"2024-08-07 09:08:26.969035"
133;"How called is it?";"What is it called?";"Word Order
Word Confusion";"2024-08-07 09:08:26.969035"
134;"I used to see video tapes when I was a kid.";"I used to watch video tapes when I was a kid.";"Word Confusion";"2024-08-07 09:08:26.969035"
135;"Or you have a shop or you have a restaurant.";"Either you have a shop or you have a restaurant.";"Word Confusion";"2024-08-07 09:08:26.969035"
136;"Johnny Depp played in that film.";"Johnny Depp played Jack Sparrow in that film.
Johnny Depp was in that film.";"Word Confusion";"2024-08-07 09:08:26.969035"
137;"It's not more a journalist who writes this.";"It's no longer a journalist who writes this.";"Word Confusion";"2024-08-07 09:08:26.969035"
138;"If I stay here and I want to go there, I need to pay for 2 buses.";"If I am here and I want to go there, I need to pay for 2 buses.";"Word Confusion";"2024-08-07 09:08:26.969035"
139;"You feel like you have to talk to them every time.";"You feel like you have to talk to them all the time.";"Word Confusion";"2024-08-07 09:08:26.969035"
140;"It's hard that I stay sick.";"It's not often that I get sick.
It's unusual for me to get sick.";"Word Confusion";"2024-08-07 09:08:26.969035"
141;"Everyone stay so stressful during the holidays.";"Everyone gets so stressed during the holidays.
Everyone is so stressed during the holidays.";"Word Confusion";"2024-08-07 09:08:26.969035"
142;"It's completely difficult.";"It's really / incredibly difficult.";"Word Confusion";"2024-08-07 09:08:26.969035"
143;"She had 64 years old when she had her achievement.";"She had 64 years old when she had her achievement.";"Word Confusion";"2024-08-07 09:08:26.969035"
144;"I passed Christmas with my friends.";"I spent Christmas with my friends.";"Word Confusion";"2024-08-07 09:08:26.969035"
145;"I play it until now.";"I still play it.";"Word Confusion";"2024-08-07 09:08:26.969035"
146;"Do you know how to do a lemon pie?";"Do you know how to make a lemon pie?";"Word Confusion";"2024-08-07 09:08:26.969035"
147;"I was a student yet.";"I was still a student.";"Word Confusion";"2024-08-07 09:08:26.969035"
148;"I don't need to make my exams.";"I don't need to do my exams.";"Word Confusion";"2024-08-07 09:08:26.969035"
149;"It's like I told before.";"It's like I said before.
It's like I told you before.";"Word Confusion";"2024-08-07 09:08:26.969035"
150;"I believed the story until I had 11 years old.";"I believed the story until I was 11 years old.";"Word Confusion";"2024-08-07 09:08:26.969035"
151;"I usually pass Christmas with my family.";"I usually spend Christmas with my family.";"Word Confusion";"2024-08-07 09:08:26.969035"
152;"When you stay among Brazilians, everything is different.";"When you're among Brazilians, everything is different.";"Word Confusion";"2024-08-07 09:08:26.969035"
153;"She eats every time.";"She eats all the time.";"Word Confusion";"2024-08-07 09:08:26.969035"
154;"I don't like to stay with people when they're shopping.";"I don't like to be with people when they're shopping.";"Word Confusion";"2024-08-07 09:08:26.969035"
155;"It's impossible to make this.";"It's impossible to do this.";"Word Confusion";"2024-08-07 09:08:26.969035"
156;"You get used to making this.";"You get used to doing this.";"Word Confusion";"2024-08-07 09:08:26.969035"
157;"I never remind what happens in my dreams.";"I never remember what happens in my dreams.";"Word Confusion";"2024-08-07 09:08:26.969035"
158;"I passed the whole day at work.";"I spent the whole day at work.";"Word Confusion";"2024-08-07 09:08:26.969035"
159;"Let me tell one thing.";"Let me say one thing. Let me tell you one thing.";"Word Confusion";"2024-08-07 09:08:26.969035"
160;"We were living a sad moment.";"We were going through a sad moment.";"Word Confusion";"2024-08-07 09:08:26.969035"
161;"Some Russian politics build castles in the U.K.";"Some Russian politicians build castles in the U.K.";"Word Confusion";"2024-08-07 09:08:26.969035"
162;"I made a course.";"I did a course.
I took a course.";"Word Confusion";"2024-08-07 09:08:26.969035"
163;"Both parents can care the baby.";"Both parents can care for the baby.
Both parents can look after the baby.
Both parents can take care of the baby.";"Word Confusion";"2024-08-07 09:08:26.969035"
164;"I like knowing new places.";"I like seeing / discovering new places.";"Word Confusion";"2024-08-07 09:08:26.969035"
165;"I saw a movie that was really horrified.";"I saw a movie that was really horrifying.";"Word Confusion";"2024-08-07 09:08:26.969035"
166;"The history is easy to follow.";"The story is easy to follow.";"Word Confusion";"2024-08-07 09:08:26.969035"
167;"It's based on a real story.";"It's based on a true story.";"Word Confusion";"2024-08-07 09:08:26.969035"
168;"A lot of peoples laugh in the cinema.";"A lot of people laugh in the cinema.";"Word Confusion";"2024-08-07 09:08:26.969035"
169;"If you want, you can do camping.";"If you want, you can camp.
If you want, you can go camping.";"Word Confusion";"2024-08-07 09:08:26.969035"
170;"Irish people drink tea every time.";"Irish people drink tea all the time.";"Word Confusion";"2024-08-07 09:08:26.969035"
171;"It's an interesting history.";"It's an interesting story.";"Word Confusion";"2024-08-07 09:08:26.969035"
172;"My nephew have 18 years old.";"My nephew is 18 years old.";"Word Confusion";"2024-08-07 09:08:26.969035"
173;"I'd like to know more cuisines.";"I'd like to try / get to know more cuisines.";"Word Confusion";"2024-08-07 09:08:26.969035"
174;"I don't have sure about it.";"I'm not sure about it.";"Word Confusion";"2024-08-07 09:08:26.969035"
175;"Painting is a form to escape reality.";"Painting is a way to escape reality.";"Word Confusion";"2024-08-07 09:08:26.969035"
176;"How is the name?";"What's the name?";"Word Confusion";"2024-08-07 09:08:26.969035"
177;"My friend is going to learn me.";"My friend is going to teach me.";"Word Confusion";"2024-08-07 09:08:26.969035"
178;"I don't agree as well.";"I don't agree either.";"Word Confusion";"2024-08-07 09:08:26.969035"
179;"When I was looking at this sentence, I reminded her.";"When I was looking at this sentence, I remembered her.
When I was looking at this sentence, it reminded me of her.";"Word Confusion";"2024-08-07 09:08:26.969035"
180;"He has more red blood cells than another people.";"He has more red blood cells than other people.";"Word Confusion";"2024-08-07 09:08:26.969035"
181;"The people were just taking photos and not watching the painting.";"The people were just taking photos and not looking at the painting.";"Word Confusion";"2024-08-07 09:08:26.969035"
182;"You need to go to a specific local to connect to the internet.";"You need to go to a specific location to connect to the internet.
You need to go to a specific place to connect to the internet.";"Word Confusion";"2024-08-07 09:08:26.969035"
183;"It's a good way to know new people.";"It's a good way to meet new people.";"Word Confusion";"2024-08-07 09:08:26.969035"
184;"I love care the people.";"I love taking care of people.";"Word Confusion";"2024-08-07 09:08:26.969035"
185;"He makes anything he can to keep the family together.";"He does anything he can to keep the family together.";"Word Confusion";"2024-08-07 09:08:26.969035"
186;"He wins a lot of money on TikTok.";"He earns a lot of money on TikTok.
He makes a lot of money on TikTok.";"Word Confusion";"2024-08-07 09:08:26.969035"
187;"Do you consider that mobile phones are cheaper here than in Brazil?";"Do you think that mobile phones are cheaper here than in Brazil?";"Word Confusion";"2024-08-07 09:08:26.969035"
188;"Step by step we started to know each other.";"Step by step we got to know each other.";"Word Confusion";"2024-08-07 09:08:26.969035"
189;"You can be on the day about what's happening in the world.";"You can be up to date about what's happening in the world.";"Word Confusion";"2024-08-07 09:08:26.969035"
190;"Many waterfalls are starting to dry.";"Many waterfalls are starting to dry up.";"Word Confusion";"2024-08-07 09:08:26.969035"
191;"They have the fault to do this.";"They are to blame for doing this.
They're responsible for doing this.";"Word Confusion";"2024-08-07 09:08:26.969035"
192;"The final of the movie is really surprising.";"The ending of the movie is really surprising.";"Word Confusion";"2024-08-07 09:08:26.969035"
193;"The roommate has to leave because he makes something bad.";"The roommate has to leave because he does something bad.";"Word Confusion";"2024-08-07 09:08:26.969035"
194;"She told the history of what happened.";"She told the story of what happened.";"Word Confusion";"2024-08-07 09:08:26.969035"
195;"Her parents went to Peru to know what happened to her.";"Her parents went to Peru to find out what happened to her.";"Word Confusion";"2024-08-07 09:08:26.969035"
196;"I lost the bus.";"I missed the bus.";"Word Confusion";"2024-08-07 09:08:26.969035"
197;"It could be a problem in the close future.";"It could be a problem in the near future.";"Word Confusion";"2024-08-07 09:08:26.969035"
198;"The biggest guilty about this are the big corporations.";"The ones who are most to blame for this are the big corporations.";"Word Confusion";"2024-08-07 09:08:26.969035"
199;"I had a picture to remember me of her.";"I had a picture to remind me of her.";"Word Confusion";"2024-08-07 09:08:26.969035"
200;"She tripped and felt on the road.";"She tripped and fell on the road.";"Word Confusion";"2024-08-07 09:08:26.969035"
201;"I said her that.";"I said that to her.
I told her that.";"Word Confusion";"2024-08-07 09:08:26.969035"
202;"Usually I don't see movies or series.";"I don't usually watch movies or series.";"Word Order
Word Confusion";"2024-08-07 09:08:26.969035"
203;"The history of the movie is good.";"The story of the movie is good.";"Word Confusion";"2024-08-07 09:08:26.969035"
204;"If I saw someone stealing a car, I'd start screaming and try stop them.";"If I saw someone stealing a car, I'd start screaming and try to stop them.";"To + Infinitive";"2024-08-07 09:08:26.969035"
205;"We decided to broke up.";"We decided to break up.";"To + Infinitive";"2024-08-07 09:08:26.969035"
206;"In my country, it's very common have outlets in the bathroom.";"In my country, it's very common to have outlets in the bathroom.";"To + Infinitive";"2024-08-07 09:08:26.969035"
207;"I'm trying not spend any money.";"I'm trying not to spend any money.";"To + Infinitive";"2024-08-07 09:08:26.969035"
208;"It's cheaper buy an apartment.";"It's cheaper to buy an apartment.";"To + Infinitive";"2024-08-07 09:08:26.969035"
209;"It's easier get a job when you're young.";"It's easier to get a job when you're young.";"To + Infinitive";"2024-08-07 09:08:26.969035"
210;"I don't know drive.";"I don't know how to drive.";"To + Infinitive";"2024-08-07 09:08:26.969035"
211;"I'd like work as a waiter.";"I'd like to work as a waiter.";"To + Infinitive";"2024-08-07 09:08:26.969035"
212;"It's easier understand.";"It's easier to understand.";"To + Infinitive";"2024-08-07 09:08:26.969035"
213;"You need study.";"You have to study.
You need to study.";"To + Infinitive";"2024-08-07 09:08:26.969035"
214;"This mountain is very hard to climbing.";"This mountain is very hard to climb.";"To + Infinitive";"2024-08-07 09:08:26.969035"
215;"I try don't make promises that I can't keep.";"I try not to make promises that I can't keep.";"To + Infinitive";"2024-08-07 09:08:26.969035"
216;"I need be alert.";"I have to be alert.
I need to be alert.";"To + Infinitive";"2024-08-07 09:08:26.969035"
217;"I learnt be polite.";"I learnt to be polite.";"To + Infinitive";"2024-08-07 09:08:26.969035"
218;"You need know work in a team.";"You have to know how to work in a team.
You need to know how to work in a team.";"To + Infinitive";"2024-08-07 09:08:26.969035"
219;"I tried like her.";"I tried to like her.";"To + Infinitive";"2024-08-07 09:08:26.969035"
220;"We need resolve the problem.";"We have to resolve the problem.
We need to resolve the problem.";"To + Infinitive";"2024-08-07 09:08:26.969035"
221;"It's difficult keep in touch.";"It's difficult to keep in touch.";"To + Infinitive";"2024-08-07 09:08:26.969035"
222;"It's important for children use social media.";"It's important for children to use social media.";"To + Infinitive";"2024-08-07 09:08:26.969035"
223;"It's difficult for us relate.";"It's difficult for us to relate.";"To + Infinitive";"2024-08-07 09:08:26.969035"
224;"If we want change the world, we need change ourselves.";"If we want to change the world, we have to change ourselves.
If we want to change the world, we need to change ourselves.";"To + Infinitive";"2024-08-07 09:08:26.969035"
225;"I always try do this.";"I always try to do this.";"To + Infinitive";"2024-08-07 09:08:26.969035"
226;"You need spend time with your family.";"You need to spend time with your family.";"To + Infinitive";"2024-08-07 09:08:26.969035"
227;"He decided do these things.";"He decided to do these things.";"To + Infinitive";"2024-08-07 09:08:26.969035"
228;"We need be educated.";"We need to be educated.";"To + Infinitive";"2024-08-07 09:08:26.969035"
229;"I don't know swim.";"I don't know how to swim.";"To + Infinitive";"2024-08-07 09:08:26.969035"
230;"It's better you walk.";"It's better to walk.";"To + Infinitive";"2024-08-07 09:08:26.969035"
231;"Try don't walk with your cell phone out.";"Try not to walk with your cell phone out.";"To + Infinitive";"2024-08-07 09:08:26.969035"
232;"I've decided don't visit zoos anymore.";"I've decided not to visit zoos anymore.";"To + Infinitive";"2024-08-07 09:08:26.969035"
233;"I try don't drink too much.";"I try not to drink too much.";"To + Infinitive";"2024-08-07 09:08:26.969035"
234;"He prefers do it his own way.";"He prefers to do it his own way.";"To + Infinitive";"2024-08-07 09:08:26.969035"
235;"It's easier bought it prepared.";"It's easier to buy it prepared.";"To + Infinitive";"2024-08-07 09:08:26.969035"
236;"I prefer turn up early.";"I prefer to turn up early.";"To + Infinitive";"2024-08-07 09:08:26.969035"
237;"It's an ideal place for people who like to nature.";"It's an ideal place for people who like nature.";"To + Infinitive";"2024-08-07 09:08:26.969035"
238;"I like do this when I go out.";"I like to do this when I go out.";"To + Infinitive";"2024-08-07 09:08:26.969035"
239;"They need be trained.";"They have to be trained.
They need to be trained.";"To + Infinitive";"2024-08-07 09:08:26.969035"
240;"My grandma used do this for us when we were younger.";"My grandma used to do this for us when we were younger.";"To + Infinitive";"2024-08-07 09:08:26.969035"
241;"It's better you save the money and pay for everything at once.";"It's better to save the money and pay for everything at once.";"To + Infinitive";"2024-08-07 09:08:26.969035"
242;"You don't need pay attention all the time.";"You don't have to pay attention all the time.
You don't need to pay attention all the time.";"To + Infinitive";"2024-08-07 09:08:26.969035"
243;"I'll try don't go to the pub.";"I'll try not to go to the pub.";"To + Infinitive";"2024-08-07 09:08:26.969035"
244;"It's difficult find a place for park.";"It's difficult to find a place to park.";"To + Infinitive";"2024-08-07 09:08:26.969035"
